image, method, ite, acc, alpha, beta
000001_000002, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-w1, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-w1, 3, 0.1014, -1.000000, -1.000000
000001_000002, GCmax-w1, 4, 0.1333, -1.000000, -1.000000
000001_000002, GCmax-w1, 5, 0.8648, -1.000000, -1.000000
000001_000002, GCmax-w1, 6, 0.9438, -1.000000, -1.000000
000001_000002, GCmax-w1, 7, 0.9746, -1.000000, -1.000000
000001_000002, GCmax-w1, 8, 0.9792, -1.000000, -1.000000
000001_000002, GCmax-w1, 9, 0.9834, -1.000000, -1.000000
000001_000002, GCmax-w1, 10, 0.9865, -1.000000, -1.000000
000001_000002, GCmax-w1, 11, 0.9879, -1.000000, -1.000000
000001_000002, GCmax-w1, 12, 0.9890, -1.000000, -1.000000
000001_000002, GCmax-w1, 13, 0.9894, -1.000000, -1.000000
000001_000002, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCsum-w3, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCsum-w3, 3, 0.0005, -1.000000, -1.000000
000001_000002, GCsum-w3, 4, 0.0108, -1.000000, -1.000000
000001_000002, GCsum-w3, 5, 0.5611, -1.000000, -1.000000
000001_000002, GCsum-w3, 6, 0.5613, -1.000000, -1.000000
000001_000002, GCsum-w3, 7, 0.5625, -1.000000, -1.000000
000001_000002, GCsum-w3, 8, 0.6924, -1.000000, -1.000000
000001_000002, GCsum-w3, 9, 0.9099, -1.000000, -1.000000
000001_000002, GCsum-w3, 10, 0.9483, -1.000000, -1.000000
000001_000002, GCsum-w3, 11, 0.9672, -1.000000, -1.000000
000001_000002, GCsum-w3, 12, 0.9756, -1.000000, -1.000000
000001_000002, GCsum-w3, 13, 0.9845, -1.000000, -1.000000
000001_000002, GCsum-w3, 14, 0.9887, -1.000000, -1.000000
000001_000002, GCsum-w3, 15, 0.7066, -1.000000, -1.000000
000001_000002, GCsum-w3, 16, 0.9905, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 3, 0.1158, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 4, 0.8628, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 5, 0.9842, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 6, 0.9840, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 7, 0.2900, -1.000000, -1.000000
000001_000002, GCmax-DT-w5, 8, 0.9848, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 3, 0.9529, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 4, 0.8570, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 5, 0.7335, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 6, 0.9825, -1.000000, -1.000000
000001_000002, GCmax-DT-w9, 7, 0.9838, -1.000000, -1.000000
000001_000002, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-w2, 2, 0.6006, 0.250000, -1.000000
000001_000002, GCmax-w2, 3, 0.1081, 0.250000, -1.000000
000001_000002, GCmax-w2, 4, 0.1726, 0.250000, -1.000000
000001_000002, GCmax-w2, 5, 0.9441, 0.250000, -1.000000
000001_000002, GCmax-w2, 6, 0.9605, 0.250000, -1.000000
000001_000002, GCmax-w2, 7, 0.9806, 0.250000, -1.000000
000001_000002, GCmax-w2, 8, 0.9849, 0.250000, -1.000000
000001_000002, GCmax-w2, 9, 0.9873, 0.250000, -1.000000
000001_000002, GCmax-w2, 10, 0.9895, 0.250000, -1.000000
000001_000002, GCmax-w2, 11, 0.9900, 0.250000, -1.000000
000001_000002, GCsum-w4, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCsum-w4, 2, 0.6006, 0.100000, 70.000000
000001_000002, GCsum-w4, 3, 0.1083, 0.100000, 70.000000
000001_000002, GCsum-w4, 4, 0.1689, 0.100000, 70.000000
000001_000002, GCsum-w4, 5, 0.6887, 0.100000, 70.000000
000001_000002, GCsum-w4, 6, 0.9512, 0.100000, 70.000000
000001_000002, GCsum-w4, 7, 0.9728, 0.100000, 70.000000
000001_000002, GCsum-w4, 8, 0.9817, 0.100000, 70.000000
000001_000002, GCsum-w4, 9, 0.9859, 0.100000, 70.000000
000001_000002, GCsum-w4, 10, 0.9871, 0.100000, 70.000000
000001_000002, GCsum-w4, 11, 0.9885, 0.100000, 70.000000
000001_000002, GCsum-w4, 12, 0.9890, 0.100000, 70.000000
000001_000002, GCsum-w4, 13, 0.9895, 0.100000, 70.000000
000001_000002, GCmax-DT-w6, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w6, 2, 0.6006, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 3, 0.8921, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 4, 0.9850, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 5, 0.9848, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 6, 0.2312, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 7, 0.9832, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 8, 0.7365, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 9, 0.8656, 0.200000, -1.000000
000001_000002, GCmax-DT-w6, 10, 0.9858, 0.200000, -1.000000
000001_000002, GCmax-DT-w10, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w10, 2, 0.6006, 0.100000, -1.000000
000001_000002, GCmax-DT-w10, 3, 0.9626, 0.100000, -1.000000
000001_000002, GCmax-DT-w10, 4, 0.9753, 0.100000, -1.000000
000001_000002, GCmax-DT-w10, 5, 0.8260, 0.100000, -1.000000
000001_000002, GCmax-DT-w10, 6, 0.9833, 0.100000, -1.000000
000001_000002, GCmax-DT-w7, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 3, 0.1157, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 4, 0.8623, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 5, 0.9841, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 6, 0.9843, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 7, 0.2905, -1.000000, -1.000000
000001_000002, GCmax-DT-w7, 8, 0.9850, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 2, 0.6006, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 3, 0.9558, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 4, 0.6855, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 5, 0.8255, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 6, 0.9723, -1.000000, -1.000000
000001_000002, GCmax-DT-w11, 7, 0.9824, -1.000000, -1.000000
000001_000002, GCmax-DT-w8, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w8, 2, 0.6006, 0.200000, -1.000000
000001_000002, GCmax-DT-w8, 3, 0.8921, 0.200000, -1.000000
000001_000002, GCmax-DT-w8, 4, 0.9846, 0.200000, -1.000000
000001_000002, GCmax-DT-w8, 5, 0.9848, 0.200000, -1.000000
000001_000002, GCmax-DT-w8, 6, 0.9854, 0.200000, -1.000000
000001_000002, GCmax-DT-w12, 1, 0.0000, -1.000000, -1.000000
000001_000002, GCmax-DT-w12, 2, 0.6006, 0.100000, -1.000000
000001_000002, GCmax-DT-w12, 3, 0.9553, 0.100000, -1.000000
000001_000002, GCmax-DT-w12, 4, 0.6880, 0.100000, -1.000000
000001_000002, GCmax-DT-w12, 5, 0.8273, 0.100000, -1.000000
000001_000002, GCmax-DT-w12, 6, 0.9719, 0.100000, -1.000000
000001_000002, GCmax-DT-w12, 7, 0.9822, 0.100000, -1.000000
000001_000003, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-w1, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCmax-w1, 3, 0.7200, -1.000000, -1.000000
000001_000003, GCmax-w1, 4, 0.4406, -1.000000, -1.000000
000001_000003, GCmax-w1, 5, 0.8018, -1.000000, -1.000000
000001_000003, GCmax-w1, 6, 0.8383, -1.000000, -1.000000
000001_000003, GCmax-w1, 7, 0.8745, -1.000000, -1.000000
000001_000003, GCmax-w1, 8, 0.8963, -1.000000, -1.000000
000001_000003, GCmax-w1, 9, 0.9093, -1.000000, -1.000000
000001_000003, GCmax-w1, 10, 0.9109, -1.000000, -1.000000
000001_000003, GCmax-w1, 11, 0.8908, -1.000000, -1.000000
000001_000003, GCmax-w1, 12, 0.9287, -1.000000, -1.000000
000001_000003, GCmax-w1, 13, 0.9322, -1.000000, -1.000000
000001_000003, GCmax-w1, 14, 0.9353, -1.000000, -1.000000
000001_000003, GCmax-w1, 15, 0.9427, -1.000000, -1.000000
000001_000003, GCmax-w1, 16, 0.9467, -1.000000, -1.000000
000001_000003, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCsum-w3, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCsum-w3, 3, 0.7107, -1.000000, -1.000000
000001_000003, GCsum-w3, 4, 0.4536, -1.000000, -1.000000
000001_000003, GCsum-w3, 5, 0.7931, -1.000000, -1.000000
000001_000003, GCsum-w3, 6, 0.8326, -1.000000, -1.000000
000001_000003, GCsum-w3, 7, 0.8542, -1.000000, -1.000000
000001_000003, GCsum-w3, 8, 0.8591, -1.000000, -1.000000
000001_000003, GCsum-w3, 9, 0.8743, -1.000000, -1.000000
000001_000003, GCsum-w3, 10, 0.8674, -1.000000, -1.000000
000001_000003, GCsum-w3, 11, 0.8858, -1.000000, -1.000000
000001_000003, GCsum-w3, 12, 0.8948, -1.000000, -1.000000
000001_000003, GCsum-w3, 13, 0.9120, -1.000000, -1.000000
000001_000003, GCsum-w3, 14, 0.9259, -1.000000, -1.000000
000001_000003, GCsum-w3, 15, 0.9260, -1.000000, -1.000000
000001_000003, GCsum-w3, 16, 0.9345, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 3, 0.7311, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 4, 0.8299, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 5, 0.6838, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 6, 0.8774, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 7, 0.7828, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 8, 0.8804, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 9, 0.8627, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 10, 0.9130, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 11, 0.9231, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 12, 0.7011, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 13, 0.9283, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 14, 0.9023, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 15, 0.9325, -1.000000, -1.000000
000001_000003, GCmax-DT-w5, 16, 0.9487, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 3, 0.7591, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 4, 0.8160, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 5, 0.5368, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 6, 0.7448, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 7, 0.8922, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 8, 0.8935, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 9, 0.8805, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 10, 0.9227, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 11, 0.9318, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 12, 0.8600, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 13, 0.8945, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 14, 0.9077, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 15, 0.9206, -1.000000, -1.000000
000001_000003, GCmax-DT-w9, 16, 0.9087, -1.000000, -1.000000
000001_000003, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-w2, 2, 0.3951, 0.250000, -1.000000
000001_000003, GCmax-w2, 3, 0.6394, 0.250000, -1.000000
000001_000003, GCmax-w2, 4, 0.4593, 0.250000, -1.000000
000001_000003, GCmax-w2, 5, 0.8376, 0.250000, -1.000000
000001_000003, GCmax-w2, 6, 0.8679, 0.250000, -1.000000
000001_000003, GCmax-w2, 7, 0.8990, 0.250000, -1.000000
000001_000003, GCmax-w2, 8, 0.9161, 0.250000, -1.000000
000001_000003, GCmax-w2, 9, 0.9298, 0.250000, -1.000000
000001_000003, GCmax-w2, 10, 0.9404, 0.250000, -1.000000
000001_000003, GCmax-w2, 11, 0.9445, 0.250000, -1.000000
000001_000003, GCmax-w2, 12, 0.9498, 0.250000, -1.000000
000001_000003, GCmax-w2, 13, 0.9531, 0.250000, -1.000000
000001_000003, GCmax-w2, 14, 0.9569, 0.250000, -1.000000
000001_000003, GCmax-w2, 15, 0.9587, 0.250000, -1.000000
000001_000003, GCmax-w2, 16, 0.9610, 0.250000, -1.000000
000001_000003, GCsum-w4, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCsum-w4, 2, 0.3951, 0.100000, 70.000000
000001_000003, GCsum-w4, 3, 0.7221, 0.100000, 70.000000
000001_000003, GCsum-w4, 4, 0.4446, 0.100000, 70.000000
000001_000003, GCsum-w4, 5, 0.8127, 0.100000, 70.000000
000001_000003, GCsum-w4, 6, 0.8461, 0.100000, 70.000000
000001_000003, GCsum-w4, 7, 0.8669, 0.100000, 70.000000
000001_000003, GCsum-w4, 8, 0.8819, 0.100000, 70.000000
000001_000003, GCsum-w4, 9, 0.8891, 0.100000, 70.000000
000001_000003, GCsum-w4, 10, 0.8943, 0.100000, 70.000000
000001_000003, GCsum-w4, 11, 0.8989, 0.100000, 70.000000
000001_000003, GCsum-w4, 12, 0.9058, 0.100000, 70.000000
000001_000003, GCsum-w4, 13, 0.9150, 0.100000, 70.000000
000001_000003, GCsum-w4, 14, 0.9267, 0.100000, 70.000000
000001_000003, GCsum-w4, 15, 0.9308, 0.100000, 70.000000
000001_000003, GCsum-w4, 16, 0.9425, 0.100000, 70.000000
000001_000003, GCmax-DT-w6, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w6, 2, 0.3951, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 3, 0.7310, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 4, 0.7544, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 5, 0.8234, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 6, 0.8785, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 7, 0.8558, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 8, 0.8038, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 9, 0.9064, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 10, 0.9092, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 11, 0.9261, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 12, 0.9413, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 13, 0.7314, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 14, 0.9515, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 15, 0.9168, 0.200000, -1.000000
000001_000003, GCmax-DT-w6, 16, 0.9490, 0.200000, -1.000000
000001_000003, GCmax-DT-w10, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w10, 2, 0.3951, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 3, 0.7529, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 4, 0.8125, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 5, 0.5416, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 6, 0.7516, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 7, 0.9015, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 8, 0.9139, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 9, 0.9275, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 10, 0.9301, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 11, 0.8642, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 12, 0.8779, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 13, 0.9078, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 14, 0.8778, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 15, 0.9246, 0.100000, -1.000000
000001_000003, GCmax-DT-w10, 16, 0.9492, 0.100000, -1.000000
000001_000003, GCmax-DT-w7, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 3, 0.7308, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 4, 0.8285, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 5, 0.6838, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 6, 0.8781, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 7, 0.8596, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 8, 0.8032, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 9, 0.9044, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 10, 0.9133, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 11, 0.9238, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 12, 0.7692, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 13, 0.9317, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 14, 0.8868, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 15, 0.9359, -1.000000, -1.000000
000001_000003, GCmax-DT-w7, 16, 0.9520, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 2, 0.3951, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 3, 0.7589, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 4, 0.8310, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 5, 0.4926, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 6, 0.6986, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 7, 0.7632, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 8, 0.8557, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 9, 0.8819, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 10, 0.8979, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 11, 0.8742, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 12, 0.9141, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 13, 0.9254, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 14, 0.9320, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 15, 0.9176, -1.000000, -1.000000
000001_000003, GCmax-DT-w11, 16, 0.9302, -1.000000, -1.000000
000001_000003, GCmax-DT-w8, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w8, 2, 0.3951, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 3, 0.7309, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 4, 0.7547, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 5, 0.8238, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 6, 0.8788, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 7, 0.8588, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 8, 0.9019, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 9, 0.9046, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 10, 0.9215, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 11, 0.9366, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 12, 0.7021, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 13, 0.8686, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 14, 0.9471, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 15, 0.9123, 0.200000, -1.000000
000001_000003, GCmax-DT-w8, 16, 0.9456, 0.200000, -1.000000
000001_000003, GCmax-DT-w12, 1, 0.0000, -1.000000, -1.000000
000001_000003, GCmax-DT-w12, 2, 0.3951, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 3, 0.7592, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 4, 0.8318, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 5, 0.5850, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 6, 0.7202, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 7, 0.7688, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 8, 0.8734, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 9, 0.8935, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 10, 0.9018, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 11, 0.9270, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 12, 0.9349, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 13, 0.8594, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 14, 0.8718, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 15, 0.9207, 0.100000, -1.000000
000001_000003, GCmax-DT-w12, 16, 0.9413, 0.100000, -1.000000
000001_000004, GCmax-w1, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCmax-w1, 2, 0.2233, -1.000000, -1.000000
000001_000004, GCmax-w1, 3, 0.2364, -1.000000, -1.000000
000001_000004, GCmax-w1, 4, 0.6405, -1.000000, -1.000000
000001_000004, GCmax-w1, 5, 0.6843, -1.000000, -1.000000
000001_000004, GCmax-w1, 6, 0.8140, -1.000000, -1.000000
000001_000004, GCmax-w1, 7, 0.8764, -1.000000, -1.000000
000001_000004, GCmax-w1, 8, 0.8864, -1.000000, -1.000000
000001_000004, GCmax-w1, 9, 0.9146, -1.000000, -1.000000
000001_000004, GCmax-w1, 10, 0.9389, -1.000000, -1.000000
000001_000004, GCmax-w1, 11, 0.9104, -1.000000, -1.000000
000001_000004, GCmax-w1, 12, 0.9468, -1.000000, -1.000000
000001_000004, GCmax-w1, 13, 0.9532, -1.000000, -1.000000
000001_000004, GCmax-w1, 14, 0.9566, -1.000000, -1.000000
000001_000004, GCmax-w1, 15, 0.9591, -1.000000, -1.000000
000001_000004, GCsum-w3, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCsum-w3, 2, 0.2233, -1.000000, -1.000000
000001_000004, GCsum-w3, 3, 0.7089, -1.000000, -1.000000
000001_000004, GCsum-w3, 4, 0.8640, -1.000000, -1.000000
000001_000004, GCsum-w3, 5, 0.8740, -1.000000, -1.000000
000001_000004, GCsum-w3, 6, 0.9116, -1.000000, -1.000000
000001_000004, GCsum-w3, 7, 0.9369, -1.000000, -1.000000
000001_000004, GCsum-w3, 8, 0.9625, -1.000000, -1.000000
000001_000004, GCsum-w3, 9, 0.9666, -1.000000, -1.000000
000001_000004, GCsum-w3, 10, 0.9682, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 2, 0.2233, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 3, 0.4350, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 4, 0.4683, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 5, 0.6482, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 6, 0.6875, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 7, 0.8025, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 8, 0.7958, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 9, 0.8313, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 10, 0.8543, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 11, 0.8877, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 12, 0.4962, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 13, 0.6919, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 14, 0.8365, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 15, 0.8676, -1.000000, -1.000000
000001_000004, GCmax-DT-w5, 16, 0.8944, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 2, 0.2233, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 3, 0.5571, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 4, 0.6688, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 5, 0.5871, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 6, 0.8392, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 7, 0.8720, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 8, 0.8476, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 9, 0.4593, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 10, 0.7392, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 11, 0.8361, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 12, 0.8887, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 13, 0.9071, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 14, 0.8828, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 15, 0.9145, -1.000000, -1.000000
000001_000004, GCmax-DT-w9, 16, 0.9259, -1.000000, -1.000000
000001_000004, GCmax-w2, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCmax-w2, 2, 0.2233, 0.250000, -1.000000
000001_000004, GCmax-w2, 3, 0.2845, 0.250000, -1.000000
000001_000004, GCmax-w2, 4, 0.6814, 0.250000, -1.000000
000001_000004, GCmax-w2, 5, 0.8316, 0.250000, -1.000000
000001_000004, GCmax-w2, 6, 0.7463, 0.250000, -1.000000
000001_000004, GCmax-w2, 7, 0.8408, 0.250000, -1.000000
000001_000004, GCmax-w2, 8, 0.8771, 0.250000, -1.000000
000001_000004, GCmax-w2, 9, 0.9052, 0.250000, -1.000000
000001_000004, GCmax-w2, 10, 0.9069, 0.250000, -1.000000
000001_000004, GCmax-w2, 11, 0.9138, 0.250000, -1.000000
000001_000004, GCmax-w2, 12, 0.9283, 0.250000, -1.000000
000001_000004, GCmax-w2, 13, 0.9302, 0.250000, -1.000000
000001_000004, GCmax-w2, 14, 0.9342, 0.250000, -1.000000
000001_000004, GCmax-w2, 15, 0.9364, 0.250000, -1.000000
000001_000004, GCmax-w2, 16, 0.9394, 0.250000, -1.000000
000001_000004, GCsum-w4, 1, 0.0000, -1.000000, -1.000000
000001_000004, GCsum-w4, 2, 0.2233, 0.100000, 70.000000
000001_000004, GCsum-w4, 3, 0.5703, 0.100000, 70.000000
